Date,Composite,One_storey,Two_storey,Townhouse,Apartment_unit,,Seasonally adjusted
Jan 2005,"$239,800","$207,700","$302,900","$201,700","$172,000",,
Feb 2005,"$240,500","$208,400","$303,300","$202,300","$173,000",,
Mar 2005,"$241,300","$209,200","$304,300","$202,900","$173,900",,
Apr 2005,"$242,000","$210,100","$304,800","$203,300","$174,600",,
May 2005,"$242,600","$210,600","$305,400","$203,700","$175,400",,
Jun 2005,"$244,000","$211,400","$307,200","$204,500","$176,800",,
Jul 2005,"$246,100","$213,600","$309,600","$206,500","$178,100",,
Aug 2005,"$248,300","$215,900","$312,300","$208,400","$179,100",,
Sep 2005,"$250,900","$218,400","$314,800","$210,900","$182,800",,
Oct 2005,"$253,800","$221,000","$318,500","$213,000","$184,000",,
Nov 2005,"$256,600","$223,700","$321,500","$215,700","$186,100",,
Dec 2005,"$259,100","$226,100","$324,600","$217,700","$188,200",,
Jan 2006,"$262,300","$229,000","$328,100","$221,000","$190,600",,
Feb 2006,"$265,000","$231,600","$331,100","$224,000","$193,000",,
Mar 2006,"$267,900","$234,400","$334,500","$226,500","$194,900",,
Apr 2006,"$271,200","$237,500","$338,200","$229,800","$197,300",,
May 2006,"$274,400","$240,800","$341,600","$233,500","$200,000",,
Jun 2006,"$277,400","$243,900","$344,600","$237,500","$202,500",,
Jul 2006,"$280,200","$246,600","$347,300","$240,800","$205,100",,
Aug 2006,"$283,100","$249,400","$350,100","$244,200","$208,000",,
Sep 2006,"$285,900","$252,000","$353,500","$246,800","$211,200",,
Oct 2006,"$287,300","$253,900","$354,300","$249,800","$212,200",,
Nov 2006,"$289,300","$256,200","$356,400","$251,900","$213,400",,
Dec 2006,"$291,800","$259,300","$358,500","$254,700","$215,100",,
Jan 2007,"$294,100","$261,500","$361,000","$256,700","$217,300",,
Feb 2007,"$297,400","$264,700","$365,200","$258,900","$219,200",,
Mar 2007,"$300,200","$267,400","$367,900","$262,200","$221,900",,
Apr 2007,"$302,900","$269,800","$371,200","$264,200","$224,200",,
May 2007,"$306,200","$273,400","$374,800","$266,800","$226,700",,
Jun 2007,"$309,100","$276,600","$377,900","$269,100","$229,000",,
Jul 2007,"$311,700","$279,000","$381,000","$271,100","$231,100",,
Aug 2007,"$313,700","$280,700","$383,400","$273,300","$232,800",,
Sep 2007,"$315,800","$282,800","$385,900","$274,500","$234,700",,
